Omsättning 47508     Återbetalning 0.712983

1  21.000000
2  35.000000
3  13.000000
5  7.000000
6  4.900000
7  15.000000
8  16.000000
9  24.000000
10  18.000000
11  28.000000
12  11.000000
13  19.000000
14  23.000000
15  5.700000
16  12.000000
Återbetalning vinnarspel: 0.827851

Komb             Odds  Kvot        Spelat belopp  Förväntad vinst
1 - 6             66  1.986306    52            33.983326
1 - 12             158  1.163928    7            0.849189
2 - 10             443  2.002538    7            4.846022
2 - 13             469  2.129156    7            5.354562
3 - 6             40  2.563575    96            94.685455
3 - 9             216  1.435930    10            3.154757
3 - 16             106  1.344578    18            4.498402
5 - 14             108  1.514608    23            8.353476
6 - 8             50  1.873379    65            38.216698
6 - 9             76  1.668721    38            17.513147
6 - 10             57  2.062567    62            43.233589
6 - 12             34  1.219004    41            6.591603
6 - 13             60  2.993723    68            81.620140
6 - 14             73  2.028410    48            32.476948
6 - 16             37  1.989033    92            60.506863
7 - 9             251  1.473811    9            3.077222
7 - 10             187  1.282242    9            1.848987
7 - 16             123  1.362894    16            4.206272
9 - 12             182  1.312418    10            2.259656
9 - 16             199  1.259109    8            1.510081
10 - 13             238  1.509180    10            3.644892
12 - 13             143  1.428554    16            4.845380
12 - 14             174  1.496678    14            4.917303
totinsats: 726, tot förväntat vinst: 450, vinstchans: 0.256622
